type,location,frequency
ns,东京,8
ns,札幌,3
ns,京都,2
ns,西武,2
ns,表参道,2
ns,富士山,1
ns,小樽,1
ns,北海道,1
ns,后乐园,1
ns,东武,1
ns,伊豆,1
nr,湾仔,4
nr,太平山,3
nr,万年大厦,2
nr,狮子山,2
nr,乐活道,1
nr,维园,1
nr,维港,1
nr,荷里活,1
nr,兰桂坊,1
nr,星街,1
nr,钻石山,1
nr,柴湾,1
nr,北角,1
nr,铜锣湾,1
nr,中环,1
nr,金钟,1
nr,尖沙咀,1
nr,油麻地,1
nr,旺角,1
nr,太子,1
nr,九龙塘,1
nr,沙田,1
nr,上水,1
nr,罗湖,1
nr,赤腊角,1
nr,天星,1
nr,文华,1
nr,糖街,1
nr,白加道,1
nr,凌霄阁,1
nr,天街,1
nr,凯旋门,1
nr,皇室堡,1
nr,青衣,1
nr,蓝田,1
